"시군구별","연도","합계출산율"
"서울특별시",2016,0.94
"부산광역시",2016,1.095
"대구광역시",2016,1.186
"인천광역시",2016,1.144
"광주광역시",2016,1.168
"대전광역시",2016,1.192
"울산광역시",2016,1.418
"세종특별자치시",2016,1.821
"경기도",2016,1.194
"강원도",2016,1.237
"충청북도",2016,1.358
"충청남도",2016,1.395
"전라북도",2016,1.251
"전라남도",2016,1.466
"경상북도",2016,1.396
"경상남도",2016,1.358
"제주특별자치도",2016,1.432
"서울특별시",2017,0.836
"부산광역시",2017,0.976
"대구광역시",2017,1.067
"인천광역시",2017,1.007
"광주광역시",2017,1.053
"대전광역시",2017,1.075
"울산광역시",2017,1.261
"세종특별자치시",2017,1.668
"경기도",2017,1.069
"강원도",2017,1.123
"충청북도",2017,1.235
"충청남도",2017,1.276
"전라북도",2017,1.151
"전라남도",2017,1.325
"경상북도",2017,1.256
"경상남도",2017,1.227
"제주특별자치도",2017,1.305
"서울특별시",2018,0.761
"부산광역시",2018,0.899
"대구광역시",2018,0.987
"인천광역시",2018,1.006
"광주광역시",2018,0.972
"대전광역시",2018,0.952
"울산광역시",2018,1.131
"세종특별자치시",2018,1.566
"경기도",2018,1.002
"강원도",2018,1.067
"충청북도",2018,1.172
"충청남도",2018,1.186
"전라북도",2018,1.044
"전라남도",2018,1.24
"경상북도",2018,1.167
"경상남도",2018,1.122
"제주특별자치도",2018,1.22
"서울특별시",2019,0.717
"부산광역시",2019,0.827
"대구광역시",2019,0.932
"인천광역시",2019,0.94
"광주광역시",2019,0.913
"대전광역시",2019,0.883
"울산광역시",2019,1.084
"세종특별자치시",2019,1.472
"경기도",2019,0.943
"강원도",2019,1.082
"충청북도",2019,1.05
"충청남도",2019,1.112
"전라북도",2019,0.971
"전라남도",2019,1.234
"경상북도",2019,1.089
"경상남도",2019,1.046
"제주특별자치도",2019,1.145
"서울특별시",2020,0.642
"부산광역시",2020,0.747
"대구광역시",2020,0.807
"인천광역시",2020,0.829
"광주광역시",2020,0.811
"대전광역시",2020,0.805
"울산광역시",2020,0.984
"세종특별자치시",2020,1.277
"경기도",2020,0.878
"강원도",2020,1.036
"충청북도",2020,0.983
"충청남도",2020,1.029
"전라북도",2020,0.909
"전라남도",2020,1.145
"경상북도",2020,1.003
"경상남도",2020,0.945
"제주특별자치도",2020,1.021
"서울특별시",2021,0.626
"부산광역시",2021,0.728
"대구광역시",2021,0.785
"인천광역시",2021,0.778
"광주광역시",2021,0.896
"대전광역시",2021,0.81
"울산광역시",2021,0.94
"세종특별자치시",2021,1.277
"경기도",2021,0.853
"강원도",2021,0.979
"충청북도",2021,0.949
"충청남도",2021,0.963
"전라북도",2021,0.85
"전라남도",2021,1.017
"경상북도",2021,0.966
"경상남도",2021,0.903
"제주특별자치도",2021,0.951
